,titles,label
5560,so looks like i'll be going to school ,0
28069,jesser76 hey!! havnt got any pics on mums lap top to apply  ,0
10707," sorry, i tried messaging you awake",0
17025,AliceJong haha... i was painting downstairs while watching family channel. now i don't know if YOUR up and i am slightly bored as well.. ,0
26050,nooo! It will end soon.  #asot400,0
6171,fderecourt so bitchy  you're breaking my heart Flad.,0
9774,Babe sucks hairless hard 10-pounder,1
16845,marsherlin exactly!!!  sg sucks!,0
8326,can't find any friends on here ,0
12135,Facial fellow protein showering,1
3640,feeling ill today too so not having a great day ,0
7051,The Print Shop can't actually print 11x17 posters.  How the hell do those things get made? This wrinkle is gonna cut into my nap time. ,0
13797,Microwaves are really fucking confusing ,0
2330,Close Up,1
12664,Blonde Babe does an amazing boobjob,1
12608,"preparing for d bournvita quiz contest,i've got only 2 days 2 do so!   .",0
20058,Another boring night here home alone.... The number 1 is deff the loneliest number ,0
25099,LauraOz i'm...okay... just really really sad... *sigh* ,0
23592,tk210 sorry to here that ,0
12747,"Has_Bookpushers I'm so freaking depressed. I knew what would happen, but still. ",0
1227,awesome blowjob given by hot girl friend,1
28458,Tittch Nevertheless you will spurn me in the end. They all do eventually... x x ,0
4661,Great Amateur Sucking,1
27801,Snow covered mountains ... Picture does not do them justice they always look smaller in pictures   http://twitpic.com/3ltvr,0
13503,David_Henrie i wish i could meet you but you're alll the way out in los angeles  lol,0
10627,"I miss mommy  oh, and aba.",0
2258,Riding him all night lengthy,1
25539,learn for the school  !!!,0
16050,babybird42  me would be playing WoW but its not possible ,0
29689,is sitting around doing nothing. I miss landon though. Sigh...  .  I beat @SheaRiley at poker! OH YAH!,0
3691,Is not a happy chappy.... ,0
7741,Naked mature lady sucks cock and gives her ass for sex,1
13139,Branquinha cachorra fudendo gostoso a bucetinha,1
24582,"Hmmm, not to self, don't repost anything from failblog, it seemed to offend A LOT of people! It wasn't even rude ",0
534,The only thing Alison wants for lunch is Tommy's hard cock and she does not care if her pathetic cucked husband catches her in action because it is time for him to watch and learn how a real man fucks!,1
27814,Lunch at Granny's. Too muddy to rope today ,0
8989,One final done...just two more to go  ,0
3122,cadelofficial http://twitpic.com/2ved8 - I love mountains.. but i live in belgium.. ,0
8377,Superhot Ariana Marie Wants Hot Load In Her Face,1
12803,GOZANDO COM BOQUETE SENSACIONAL,1
16593,Another loser: just lost the game  http://tinyurl.com/clrg3u,0
29435,wasn't able to join his friends AGAIN because he slept late ,0
24051,Doh bought a baguette with mayo in again ,0
26847,jeremya Bummer...that's the worst for me. Been that way my whole life ,0
9014,glogowerpower nothin on the crib...but def didn't get errrythang back ,0
16142,"babigyrlwab09 hey ashley not much. #couchsurfing downtown, staying in tonight  but might walk host's dog to main st in a bit. how bout u?",0
20775,I'm like littarly shivvering of the coldness  &amp;&amp; I'm kind of hungreyy!,0
2441,"Morning tweetpeeps, I didn't get to bed until 3am yesterday. Was on MSN to Alex until 2 and then wanted to play Dead Space before bed ",0
26219,noreaga cigarettes are bad for you!!!   ,0
7708,Last day @ Disney ,0
3247,catvix I am? News to me. And sorry to hear about the job ,0
889,emiliexclarkex miss you ,0
7550,I saw the cutest guy ever!.... in my dream  dreams come true right? i hope so! (:,0
28560,I have no time for bath with yoghurt bubbles  GoodNight my fav TwitterTown. Sweet dreamss.,0
1464,All in one cell phone sex video preview,1
28667,is &quot;trying&quot; to study  and is longing to watch some cricket!,0
5365,bhargavkapadia aren't they always? remember the college. the 'private' connection used to block everything good. ,0
27068,'sometimes blonde's forget to breathe' LOL ,0
14038,With my cousin and JC trying to get back to my car so I'm not extremely late for work.... Gunna be late though I think  worth it! Good day,0
8599,Te pondrás erecto cuando veas mi baile sexy- Samanthabunny,1
1197,cum in the mouth of a beautiful 43-year-old mummy,1
29817,There's this 1 cat I see EVERYtime I go out &amp; he just stares &amp; I always feel guilty  SO weird. Like I owe'm somethin but I don't know'm.,0
559,nicolerichie I cried so hard when Matthew died ,0
1659,"Feeling soree, bad idea to go running when your sick ",0
27835,skinnyjeans Got anything funny to post? I need a pick-me-up ,0
28970,"Ah no, I can't believe it's school tomorrow! Where did the weeks go ? ",0
16968,bobbinrob  for low squee ,0
28838,mdwaterfront i know! i had work and couldnt come down ,0
7368,U/CHF got stopped out this morning for a loss of 80 pips.  That Swiss is an erratic pair. ,0
26567,I can't smell anything - at all. I hate losing one of my senses.. ,0
11382,Troublemaking Babe Gets Laid at School,1
26959,aimee_sams glad 2 hear ur not out enjoyin the weathr !!!!!!!good up here in north wales ring u in the wk gt 2 gt stuff sortd 4 tomoz  xx,0
11830,Should nott be up this early  fuckk me,0
22,Alanah Rae Big Tits HD Porn,1
4770,no eyeliner. i feel naked. leaving the flat now to get to the shops for my mum. and i might text my boyfriend. i miss him ,0
2806,just spent the last half hour making a playlist for tonight... it's going to be a long night ,0
1032,"mhm, not having a good day  blah blah blah",0
17376,at home BORED AS FUCK ,0
15685,deandrea ooohhh i feel your pain  i hate when theyre slow in the speeding lane!!,0
11693,she cant take that white dick,1
13991,i wish there were more people that i know IRL on twitter....lame. ,0
5946,Back to work. ,0
12577,b. sadomasochism,1
10102,therealTiffany cute profile pic. but you cute sterling out ,0
9684,queenzita  then why do they have these stupid little pictures on my iPod I can add to text if no one can see them,0
18275,the smell of pot and smoke sucks when in concert. my lungs hurt ,0
23955,"first she realises her nail has torn itself off, and then she knocks her foot against the wheel on her chair. OWWWW! ",0
1860,wilshipley  I am sad... the Dutch localization in DL2 is bad... it's incomplete and has too many truncations...,0
1856,missing my boyfriend  who im on the phone with but its just not the same TWEET,0
22739,My alarm didn't go off so I ended up being waken at 4:45 by my step dad instead of at 3:30 by my alarm. ,0
9977,Ugly BJgivers.com MILF blowjobs husband's dick.,1
4827,Have to wait 45 minutes for the next bus home  I need my own car so bad...,0
27545,Eric_Olson i miss being at work with you! ,0
22209,I fell asleep one food  I think two of my friends might be mad at me and I really love them. My knee is getting better I think,0
11202,He's fucking the black maid so hard she screams,1
10850,traix23 go wait at the airport for me I wanna come home to you!  x,0
1970,I have a hole in my favourite top. I bought it in the sale before Christmas so I can't even get an exchange  might try fixing it later.,0
9930,Didnt goto town in the end. Tidying flat instead. Am on an 18 month contract which started last month ,0
24211,sunday early and i'm working!!!!! ,0
2520,See Tapes,1
7476,"hasnt been on twitter for a few days, no internet at mums house for the moment  ",0
11137,"mizrik I've got a blackberry by t-mobile, when I click to verify my acct it gives me a error message ",0
1711,Playing fighting with my girlfriend little sister turns to real sex,1
23329,Sweet_Candii you smashed your pancakes ,0
6340,Just finished work tryin 2 find something 2 do  x,0
29495,love going to bed at 2 am...ughhh ,0
3865,"cupcakesfortwo no pain to really be the issue though, there's the thing.. can't figure it out... ",0
473,,0
11458,serenajwilliams i give up on hoping for a response  i hope you have a great day Serena. I will always support you in all that you do,0
7962,andreeyuhspooky cept i still have to get up early  which sucks haha,0
5140,Happy End Massage Huge Cock Amateur Homemade Porn Hidden Cam Real Amateur Videos Voyeur Cam Hidden Camera Videos - hot milf mature cougar massage sex masseuse real amateur porn realamateur amateurporn,1
15445,Packing my computer  i wont have it till tomorrow ,0
21333,last day of Easter break  where did the time go,0
4250,rainy day.  so bad. (trying to make my hair look great -_-,0
10153,feeling so f*cking bad  my bro had a car accident (N,0
8906,debskie79 me too  will you be there when I get back Wed. night for dinner at Tecce's??,0
26371,deviantfantasy but it blacked out durring a challenge. ,0
8398,Muslim babe getting dick in her hungry hole,1
19699,"goin to bed , sorry. ",0
213,sad that the 'feet' of my macbook just fell off ,0
9704,"Had a great time at my last social! Definitely going to miss this over the summer  Homework all day tomorrow, boo...",0
9962,Hot blonde tattooed old cougar gives the best blowjobs,1
3979,BLACKEDRAW Actress Fucks Mandingos BBC For Job,1
19312,Just thought about someone who is at a party in EP........  .... why right now? wonder what he's doing right at this second... oh no.....,0
8401,College babe comforted and fucked by her stepcousin,1
12169,i miss my german friends ,0
3377,Boyfriend ripped off chubby little sisters shirt and cummed all over her!,1
16450,datkidpatrick lol I don't kno bout anything so I'm stuck here   I'm bout to jus buy drinks and get talkative,0
9509,AmandaPursell sorry bout your luck ,0
11204,"finding it tough to do school work/planning/marking, as having been ill most of easter i'll get hardly anything i need to do done ",0
18898,nice relaxing day today....i should write something in my journal....i wish i was in sf again ,0
3790,DaughterSwap - Hot Latina Bestfriends Fucking Daddys,1
1391,This sexy Slut loves Sex (amateur french porn),1
10810,wow everybody is saying what a beautiful day it is in NYC...making me wish I was there cuz I ALREADY LOVE NY in the spring ,0
28127,work today  tired.,0
3743,Toyed teen beauty in 3way,1
2078,Amador no banheiro corno nem sabe,1
12482,Sukisioux  I have to leave Carl on his tod for a few nights week after next,0
13445,Mormon Teens Breeding With Pastor,1
29483,"dinibeanie oh that's ew  i hope the test went alright. i think uni weeks should be 3 days long at most, and nothing more.",0
12901,"today is such a sad day! ok, idk why, but i feel so sad! i have NOTHING to do...  MISS U NATIE!",0
5275,Cheating wife on real hidden cam.TS,1
678,Free j. adult porn,1
11560,Hot sexy MILF rides big black monster dick 7,1
23226,"soccer practice, church, homework alll day ",0
26550,ranjanv thanks Ranjan ..both guys at TechnoLabs have been ill this weekend ,0
29174,selenagomez i haven't even seen it once ,0
15731,I wish I was going to see There For Tomorrow tonight ,0
1466,"has to flip his lifestyle around, goodbye to sleeping in  and hello work at 6am!",0
3902,"Rammi I love Chinatown and its cheap stuffs, but I hardly communicate with the sellers, they can't speak English ",0
5120,Amazing Russian Cougar Sex With Young Guy Home old and young old vs young old young young old hot milf mature cougar voyeur amateurs amateur video amateur sex video real amateur porn hot naked women,1
12293,i need some food nothing in the house at all........    .......,0
13066,a few mommies fucking with young boys - MOTHERYES.COM,1
12845,Cum in his AssPussy,1
2097,Nudist on the beach,1
24337,learning for maths clastest ,0
13133,how very dare jody talk to nick like that ,0
24082,"trying to find a free british WWI roll. there are not any at all. bastards... why is the australian one free, then? ",0
13198,Lark_vamp_ *Takes a bite* These are really good cookies! To bad you can't try them  Maybe I can share them with Jake if he comes over!,0
4330,SLUT BUSTY MOM ENJOYS THREESOME OUTDOOR !!,1
7693,"Did some voluneering and now have to focus on Uni stuff. Need to write a press release, how hard...  wish I had more practice",0
27875,i love the super nice weather.. now i must pick csm or skyline  fudge!! i need help!!,0
7526,Huge tits brunette Milf Syren de Mer handcuffed serving to blonde mistress Helena Locke in fetish lingerie then strapped gets anal fucked,1
15918,shannatram  alice_ash we ate already  but if you wanted to come over with food no one would be offended,0
8111,beckers357 I'm sorry. And you hit someone huh? ,0
26510,AshleyLaxson ok you make it sound like i don't care your hungry or never like you to wake me up.... i'm not that mean ,0
11478,finishing up a wire sculpture for my 3D class. bring on the pain ,0
27017,reatlas  hungry!,0
12979,Headache ,0
11601,at the office...  ,0
24633,PeterCrouch been trying to get your autograph for my son's birthday but portsmouth fc keep ignoring my emails ,0
749,"misstoriblack cool , i have no tweet apps  for my razr 2",0
6867,GetYourYordlesOff 2 with Lulu MoistCavityMap,1
11520,omg. comments just arrived in the mail. KILL ME NOW.  i need to get grades UP! no more fb.,0
3220,it's raining outside. looks like snow but it's raining ,0
8635,Busty gilrl shows her nice round big breasts and plays with her bald pink pussy,1
5820,Young legal porn episodes,1
18118,EZSKYWALKER How come all I see from this link is a blank hiphop audio page? ,0
6621,"AMelhuish Hello there, Well right now, i am hanging after a night in Gford   How you doing?? x",0
5588,working thinkin of ways to leave this place feeling like Trey songz Just gotta make it lol i hate wall street its so Gray and sad ,0
2914,Fazendo o amigo se reerguer,1
8037,RIM4K. Dude gets a glass of champagne and ass-licking from a model,1
8999,"Good turnout for the party! I'm so out of it though, kinda just in my world for some reason  I guess I have too much on my mind",0
3943,lil rosie in action,1
26846,whimpers... nearly 4 hours of Cliff on ITV3... and I have to let her watch cos it's her birthday ,0
5628,Steaming old and j. sex,1
24189,"BrookeElyse I have officially finished, my life has no meaning anymore, not one single thing to look forward to ",0
4090,We were quite bored so we decided to have some nice adult fun together.,1
25688,"had a lazy day in the sunshine, feeling happy, but wondering why miley didnt accept on myspace ",0
6302,Ribald teen porn sites,1
24201,Last day of Spring Break.  Yankees then reading for Real Estate class.  Back to school tomorrow night.  ,0
29444,iamdiddy Can i come? ,0
18635,unemployment is fun!!!! too bad mines is coming to an end ,0
2169,ellisonrox awwww  but she will be on tomorrow  4. i will still watch her show even though you guys persecute me. are you far away? ,0
3883,"up, and throat still hurts ",0
27721,7 hours of work followed by room cleaning and my return to school...fun day ,0
7266,April showers isn't supposed to mean snow.  *sigh,0
11782,Shit - I accidentally said &quot;grande&quot; in Starbucks. Sounding like a tool FTL. ,0
5694,Teenager paramours in homevideo,1
21571,"ho hum: car stolen, ipod stolen, new mtb purchase on hold while I wait to see costs of all this ",0
25775,"Have manouvered upstairs to my bedroom now, as my dad is watching the footie ",0
10459,"buckhollywood Have fun! I, on the other hand, have a boring day. I have an exam in the afternoon. ",0
13503,Big tits party - British amateur girls gangbang swingers party,1
8020,HOT TEEN ANAL SHOWS HER GAPING ASSHOLE,1
4820,Hey Stop you are putting it in my ass!! Swedish Doggy Style Amateur Anal Porn,1
8747,Two Girls Bust Dad's Balls and Make Him Eat His Cum,1
14919,don't wanna talk about w he broke my heart ... just he broke my heart ! ,0
2944,Piccy coming soon  -off to watch 90210. God i wanna move to america soo baadd ,0
4012,ZeenaV Sims 2 shut down on me again. ,0
21894,Really Badly wants to meet a celeb  xx,0
14607,"im lonely  keep me company! 22 female, Virginia Beach - Virginia",0
2395,Hd massage porn,1
972,i fuck my real  aunt while she alone at home,1
10941,MsProper =/ that was posted by mistake I was trying to text someone  and he made me mad,0
22470,Can't believe its his last day off work today.....back to the Grindstone tomorrow. ,0
22675,"Chartel96 Ja, kipt at vi tapt ",0
11883,Nice Tongue Job 2,1
12104,Lurking at http://GamerDNA.com and reading all the news before they remove the news section later today. ,0
10306,trying to put up a profile pics but everything is too big ,0
8283,Sometimes PayPal gives me a headache. ,0
10368,"Big Butt Big Boobs Boss Nina Kayy, won't stop yelling at her employee, Karlo, until he stuffs her warm mouth & pink plump pussy with his big Latino dick! Full Video & Nina Live @ NinaKayy.com!",1
6247,Slutty beauty blows shlong on cam,1
4099,Big tits big dick adult new porno porn blowjob anal teen young,1
24225,long night ..early morning ,0
13140,Novinha da bunda grande deitou pra levar pica,1
24743,"doing my srt homework, i have to get 4 pics of bugs and draw them in very good detail, easy but boring ",0
13070,IT Boys Fucks Old Horny Slut,1
13027,jessicastrust well i may just have to get myself a copy and a couple of boxes of tissues. ,0
26318,HenryMCCRORY  I'm just going to come kidnap you... She can't do anything about that :p,0
